episode,total_reward,avg_reward_100,epsilon,beta,steps,avg_loss
1,45.29804250928942,45.29804250928942,1.0,0.4,428,0.0
2,-130.13883209397932,-42.42039479234495,1.0,0.4,583,0.0
3,-154.07082883857672,-79.63720614108887,1.0,0.4,549,0.0
4,48.65786957357841,-47.56343721242205,1.0,0.4,271,0.0
5,59.24475708680095,-26.201798352577452,1.0,0.4,174,0.0
6,-68.38299137995672,-33.231997190474,1.0,0.4,474,0.0
7,62.44123512894501,-19.564392573414136,1.0,0.4,188,0.0
8,36.75254598663335,-12.524775253408201,1.0,0.4,231,0.0
9,-22.71746595137833,-13.657296442071548,0.9885630291773887,0.40013800000000005,276,0.6239302184270776
10,54.9717284524756,-6.794393952616834,0.9646316088645728,0.400432,193,0.24536220985464752
11,44.746148316913704,-2.1088901099322395,0.9426928596981636,0.400708,185,0.06090089037548751
12,-104.3404105328144,-10.628183478505752,0.900751257125721,0.401254,363,0.029522628956474364
13,26.439549792420877,-7.776819380742166,0.876312066660663,0.401584,221,0.0345617256895639
14,37.64691013370607,-4.5322672725672914,0.8572390056686406,0.40184800000000004,178,0.03716393704758957
15,-186.4382908177273,-16.659335508911294,0.8211501771842891,0.402364,341,0.0362952673714608
16,50.169017060190896,-12.482563473342408,0.7988707238703292,0.402694,222,0.03649132142309099
17,-81.2741086974703,-16.52912495711464,0.7752547094916237,0.403054,238,0.04148938860977069
18,-91.3741615156372,-20.687182543699222,0.7534664604446856,0.40339600000000003,231,0.04472526844125241
19,54.84054285885534,-16.71203910145951,0.735226326002761,0.40369000000000005,194,0.045212918354664
20,-84.90390621038107,-20.12163245690559,0.6927460614810248,0.40440400000000004,477,0.0429219543421641
21,62.88442779699414,-16.1689629210056,0.6766523472391763,0.40468600000000005,187,0.04128042220603675
22,-236.67790471629425,-26.19209663897327,0.5971249338968463,0.40618600000000005,1000,0.048207420618273315
23,-555.488590219891,-49.20498766423056,0.5386686338853831,0.407422,824,0.039317897096043455
24,-30.11190525921983,-48.40944256402177,0.5129038231406511,0.40801000000000004,394,0.04621366437990218
25,-90.65809658065812,-50.09938872468722,0.5037518807918635,0.40822600000000003,143,0.04459361551329494
26,-14.177674537107675,-48.717784332857235,0.49328080451433615,0.408478,169,0.04830392539966852
27,-27.97564737076832,-47.94955703796505,0.48037736296609657,0.40879600000000005,212,0.050627083918079734
28,-63.35101555274662,-48.499609127778676,0.47039215357748143,0.409048,167,0.047219801128376274
29,-600.7768741610626,-67.54365274961604,0.4294665935500658,0.41014,726,0.050889234649948774
30,-413.08043250724944,-79.06154540820383,0.4122103202424418,0.410632,330,0.05778828366426751
31,-315.2286361122023,-86.67983865671991,0.3974322888538445,0.41107000000000005,290,0.06076428041094914
32,-742.0158022611097,-107.1590875193571,0.3507218000182884,0.41257000000000005,1000,0.0483078894589562
33,-34.769785838598914,-104.96547231690988,0.3470575758360677,0.412696,87,0.04938492032350041
34,-50.36925007316876,-103.3597010744469,0.3366295485441309,0.41306200000000004,243,0.05520417597726919
35,-187.06890974961252,-105.75139275088021,0.3234268797843424,0.413542,319,0.05933415604289621
36,-33.40209824631961,-103.74169012575352,0.31638744618611153,0.413806,177,0.062453491622582076
37,-1003.4549242269377,-128.0582640203801,0.2858428472363073,0.415024,813,0.05467017847113311
38,42.0210542498765,-123.58249248695232,0.28074244216874245,0.41524,142,0.05539560132194311
39,-10.367615567435884,-120.67954692491344,0.27476942634510804,0.41549800000000003,173,0.05659543087240308
40,-227.76566289297696,-123.35669982411503,0.26241331330988815,0.41605000000000003,368,0.054331202360335736
41,-86.20004567191937,-122.45043996674441,0.25863483574947954,0.41622400000000004,114,0.053907863083295524
42,-12.669485124101554,-119.83660770858626,0.25401991381017025,0.41644000000000003,147,0.05635929808020592
43,-441.78657753217834,-127.3238163091349,0.23554306982822257,0.417346,603,0.05780759254703298
44,-45.79811326804921,-125.47095942183749,0.23122451315539833,0.41756800000000005,146,0.06016441730083898
45,-82.84978706583402,-124.52382225837074,0.22027505774301961,0.41815,391,0.05640522232512012
46,21.000915280926712,-121.36024100751644,0.21688627798843532,0.41833600000000004,121,0.05772950157523155
47,-268.8249511196138,-124.49778803117808,0.20921535927663337,0.41876800000000003,289,0.06338154142722488
48,-142.5958633973905,-124.87483126797417,0.20415061322507186,0.41906200000000005,197,0.05924852870637551
49,-68.24809762086305,-123.71918364252292,0.200507874453376,0.41927800000000004,142,0.058002084500622005
50,1.8834619897053604,-121.20713072987836,0.19702864881039545,0.419488,142,0.0608780444948934
51,-22.04168744555205,-119.26271027332294,0.19341623352397586,0.41971,147,0.06289041565731168
52,-16.246272436948498,-117.28162493031574,0.19025026519701535,0.419908,134,0.062478852041531356
53,22.024797218269747,-114.65320187090848,0.18657541252475876,0.420142,155,0.06311899943975732
54,27.710179399163053,-112.01684295849974,0.1816040489327824,0.420466,217,0.05974463073536754
55,16.958361554099227,-109.67183924008884,0.17836361727453864,0.420682,141,0.06543068648781628
56,-74.17023773037933,-109.03788207027262,0.17404573913472685,0.420976,196,0.06620018566492945
57,-80.78199124240781,-108.54216468732761,0.17153966232211976,0.42115,116,0.07032075662631541
58,-73.6739734820786,-107.94098897689229,0.16747071581940465,0.42143800000000003,193,0.07056393614038825
59,-82.57272285618849,-107.51101836467696,0.16074162329717992,0.42193,330,0.06732535762246698
60,-25.28017209863318,-106.1405042602429,0.15866499036004522,0.422086,104,0.06901599625125528
61,33.59516235838534,-103.84975562715064,0.1559118251558911,0.422296,137,0.07298823528923094
62,-83.74241240654658,-103.52544363972154,0.15244212216395728,0.422566,183,0.06912273988127708
63,-95.37535400957563,-103.39607713765574,0.1488261721763635,0.422854,192,0.06938013986917213
64,-96.84341133445179,-103.29369173448066,0.1433471939166571,0.423304,300,0.06895984791684896
65,-26.240081103288688,-102.10825157092385,0.14227584468546683,0.42339400000000005,58,0.07277795752976089
66,-143.88325952655518,-102.74120623691827,0.13738112373996694,0.423814,282,0.07916403418406844
67,-94.17577969201375,-102.61336404968088,0.13418951765134016,0.42409600000000003,185,0.07954717667773366
68,-57.541777165559964,-101.95054659550264,0.1319270159451434,0.4243,137,0.07634270685724914
69,-118.15449279502221,-102.18538639549568,0.1297026611379007,0.42450400000000005,136,0.07563403160311281
70,39.911368163227976,-100.1554327589425,0.12700663853241015,0.424756,167,0.07568566807545722
71,-839.8740406798634,-110.57400470149067,0.11326279322654835,0.42613,919,0.0725458794622682
72,-268.54041333871675,-112.76798259922994,0.10693234477540765,0.42682000000000003,460,0.07585953129455447
73,-68.26871069290189,-112.15840353201996,0.10371935221351795,0.427186,244,0.0762901504104957
74,-480.689013514888,-117.13854691016682,0.0959828311857999,0.428116,620,0.07472194066271186
75,-50.7225271428724,-116.25299997993623,0.0935188323472308,0.42842800000000003,208,0.07601756647229195
76,-10.445009970855754,-114.86078958507991,0.09212617273399745,0.42860800000000004,118,0.07595321750734002
77,-391.9434321566774,-118.45926546263311,0.08482908337811905,0.42959800000000004,661,0.06901752769947052
78,-39.20850185024627,-117.44323003170507,0.083315445059295,0.42981400000000003,144,0.070029078098014
79,-229.2463900915185,-118.85845990587994,0.07968830347722414,0.430348,355,0.07852590453345329
80,17.05660726752665,-117.15952156621238,0.07810997866533885,0.430588,162,0.0807876642094925
81,40.83706338012422,-115.2089464434181,0.07644812755744189,0.430846,170,0.07266025319695472
82,-109.87626116879699,-115.14391369616662,0.07463476651281159,0.431134,192,0.07489121383056045
83,-139.49126384957736,-115.43725526428,0.0721753128324809,0.43153600000000003,267,0.0693239466252271
84,43.6172921882885,-113.54374874698752,0.07088746066167063,0.431752,144,0.0636456670111511
85,-43.946495338656796,-112.7249575304189,0.06759822189941536,0.43232200000000004,383,0.07447010790463537
86,-1075.0807685220439,-123.91514137915874,0.05977281262420891,0.433798,983,0.07042213412001729
87,-146.4312865144372,-124.17394764508147,0.0577742061880015,0.43420600000000004,271,0.06957798250252381
88,-105.55319124347366,-123.96234814051778,0.056234793350523504,0.43453,218,0.07386593817034737
89,-86.27906489102303,-123.53894046355717,0.052694938573276076,0.43531000000000003,520,0.06309265263844281
90,32.17605336260758,-121.80877386548867,0.05183239201513806,0.435508,130,0.06566900621633977
91,-452.76431056706275,-125.4456478951763,0.04999916370086185,0.436168,440,0.07098100821021944
92,-64.12855439397127,-124.77915774842408,0.04999916370086185,0.43642000000000003,168,0.0714594842074439
93,-135.12444156642349,-124.89039735937031,0.04999916370086185,0.436798,252,0.07401435947045684
94,-156.49306804332954,-125.22659598366776,0.04999916370086185,0.437176,252,0.07573018623050302
95,-84.63580484273837,-124.79932449797377,0.04999916370086185,0.43747,198,0.07322269211523234
96,-117.39884226071894,-124.72223614133566,0.04999916370086185,0.43775200000000003,187,0.07407101018354297
97,-117.54260630174407,-124.64821933886564,0.04999916370086185,0.438016,175,0.07557299377396703
98,-73.16713558211566,-124.12290215767432,0.04999916370086185,0.438166,102,0.0762956310203299
99,-117.39455653595564,-124.05493907058624,0.04999916370086185,0.43849000000000005,215,0.08076589696109295
100,42.16702675041303,-122.39271941237627,0.04999916370086185,0.43876000000000004,181,0.07738328545354306
101,-185.95442414907086,-124.70524407895988,0.04999916370086185,0.43919800000000003,291,0.07242662921780721
